model,K,lambda,val_f1,test_f1,mean_lambda
gemma4-26b,5,global,0.6453148896662254,0.5815585662667915,0.6000000000000001
gemma4-26b,5,per_goal,0.6371908428463229,0.5517913430137495,0.21470588445663452
gemma4-26b,10,global,0.6533524709914463,0.593629799066577,0.7000000000000001
gemma4-26b,10,per_goal,0.6426698769829905,0.5691052242573709,0.3529411852359772
gemma4-26b,20,global,0.6626377272785771,0.6022385891024791,0.7000000000000001
gemma4-26b,20,per_goal,0.6502688691491236,0.5713691734761595,0.39411765336990356
gemma4-26b,50,global,0.6649824662525159,0.6088149395550838,0.7000000000000001
gemma4-26b,50,per_goal,0.6530429586321232,0.5822150878665374,0.4382352828979492
mistral-24b,5,global,0.6282968079080891,0.5730517580403768,0.7000000000000001
mistral-24b,5,per_goal,0.6176529112515537,0.5442307879206282,0.24117647111415863
mistral-24b,10,global,0.6493889665643272,0.5731045633809153,0.7000000000000001
mistral-24b,10,per_goal,0.6400634144215023,0.5605875188232279,0.323529452085495
mistral-24b,20,global,0.6506201270391616,0.5823365211971733,0.7000000000000001
mistral-24b,20,per_goal,0.6249738387642598,0.5664197550165282,0.39411765336990356
mistral-24b,50,global,0.6550575479247376,0.5927613854111958,0.8
mistral-24b,50,per_goal,0.6317602622986971,0.5646632989384682,0.45000001788139343
qwen3-32b,5,global,0.6428294504774406,0.5587663543780108,0.6000000000000001
qwen3-32b,5,per_goal,0.6354559505156328,0.5435378451737645,0.2029411941766739
qwen3-32b,10,global,0.6500840179535756,0.5698316806811701,0.7000000000000001
qwen3-32b,10,per_goal,0.6341337657255197,0.5612298507475366,0.2558823823928833
qwen3-32b,20,global,0.6578601948722684,0.5826079420629506,0.8
qwen3-32b,20,per_goal,0.6396822088014399,0.5747811167110375,0.3529411852359772
qwen3-32b,50,global,0.6583605255887468,0.585385204016231,0.7000000000000001
qwen3-32b,50,per_goal,0.6525305741696881,0.5770443267834289,0.40294119715690613
mixtral-8x7b,5,global,0.6063139105515798,0.5412015683326186,0.9
mixtral-8x7b,5,per_goal,0.563701529309032,0.5067505000588632,0.42941173911094666
mixtral-8x7b,10,global,0.6194924366640704,0.557770270966409,0.8
mixtral-8x7b,10,per_goal,0.5982941862224067,0.5304293918069964,0.5264706015586853
mixtral-8x7b,20,global,0.6241780359879371,0.5777613663312229,0.9
mixtral-8x7b,20,per_goal,0.5931340708892493,0.5462710993399218,0.5999999642372131
mixtral-8x7b,50,global,0.6400487064751361,0.5782423109078846,1.0
mixtral-8x7b,50,per_goal,0.611731480920704,0.53840832653971,0.6205882430076599
