model,graph,alpha,conf,w_B,val_f1,test_f1,val_f1_target,test_f1_target
gemma4-26b,Keyword overlap 169x169 (lexical-symbolic),0.7,0.6,,0.5703752368614006,0.5159351718245345,,
gemma4-26b,"Combined 169x169 (w·B + (1-w)·C, w on val)",0.8,0.6,0.75,0.5687501736544833,0.5220028003971918,,
gemma4-26b,Pradhan inherited 169x169,0.8,0.5,,0.5687501736544833,0.5216685104474837,,
gemma4-26b,Pradhan 17x17 (goal-level baseline),0.7,0.7,,0.5683904798278101,0.5185378819931558,,
gemma4-26b,Random Gaussian baseline 169x169 (sanity floor),0.7,0.6,,0.5672717481651236,0.5254877002704224,,
gemma4-26b,UN taxonomic 169x169 (5P clusters),0.7,0.5,,0.566972239907138,0.5255130422947276,,
gemma4-26b,Semantic similarity 169x169 (SBERT),0.7,0.5,,0.5664600798728782,0.5264767175779481,,
gemma4-26b,goal-LLM (no graph),,,,,0.5216177784976842,,
gemma4-26b,target-LLM aggregated (no graph),,,,,0.5286151349954628,,
mistral-24b,Pradhan 17x17 (goal-level baseline),0.7,0.5,,0.4899466262286687,0.4658183297813472,,
mistral-24b,Keyword overlap 169x169 (lexical-symbolic),0.7,0.5,,0.4875291373254788,0.4570142200609731,,
mistral-24b,Pradhan inherited 169x169,0.8,0.5,,0.4825213747633169,0.4585265509856432,,
mistral-24b,"Combined 169x169 (w·B + (1-w)·C, w on val)",0.8,0.5,1.0,0.4825213747633169,0.4585265509856432,,
mistral-24b,Semantic similarity 169x169 (SBERT),0.7,0.5,,0.4819794778327277,0.4568070157166158,,
mistral-24b,UN taxonomic 169x169 (5P clusters),0.7,0.5,,0.4815164721176211,0.4558143065470312,,
mistral-24b,Random Gaussian baseline 169x169 (sanity floor),0.8,0.6,,0.4813299406018874,0.4575369347877163,,
mistral-24b,goal-LLM (no graph),,,,,0.4787128317504444,,
mistral-24b,target-LLM aggregated (no graph),,,,,0.4589641221985147,,
qwen3-32b,Keyword overlap 169x169 (lexical-symbolic),0.7,0.5,,0.4382534116903304,0.4018095020167048,,
qwen3-32b,Random Gaussian baseline 169x169 (sanity floor),0.7,0.5,,0.4353832943443914,0.4024814939140139,,
qwen3-32b,Pradhan inherited 169x169,0.7,0.5,,0.4336782645063692,0.4023982517774002,,
qwen3-32b,UN taxonomic 169x169 (5P clusters),0.7,0.5,,0.4336782645063692,0.402472015895057,,
qwen3-32b,Semantic similarity 169x169 (SBERT),0.7,0.5,,0.4336782645063692,0.4038898890588725,,
qwen3-32b,"Combined 169x169 (w·B + (1-w)·C, w on val)",0.7,0.5,0.0,0.4336782645063692,0.4038898890588725,,
qwen3-32b,Pradhan 17x17 (goal-level baseline),0.7,0.5,,0.4321489943270854,0.4133236353311864,,
qwen3-32b,goal-LLM (no graph),,,,,0.4240813821399711,,
qwen3-32b,target-LLM aggregated (no graph),,,,,0.4024134188787943,,
mixtral-8x7b,Pradhan 17x17 (goal-level baseline),0.7,0.7,,0.2680115033709416,0.2338577374692181,,
mixtral-8x7b,Keyword overlap 169x169 (lexical-symbolic),0.7,0.7,,0.2212233095981045,0.1875735732196239,,
mixtral-8x7b,Semantic similarity 169x169 (SBERT),0.8,0.5,,0.2083646600192208,0.1800041664626196,,
mixtral-8x7b,"Combined 169x169 (w·B + (1-w)·C, w on val)",0.8,0.5,0.0,0.2083646600192208,0.1800041664626196,,
mixtral-8x7b,Random Gaussian baseline 169x169 (sanity floor),0.7,0.5,,0.2070660790666606,0.1759783902848319,,
mixtral-8x7b,Pradhan inherited 169x169,0.8,0.5,,0.2061746931233716,0.180358777618628,,
mixtral-8x7b,UN taxonomic 169x169 (5P clusters),0.9,0.5,,0.2053106897680187,0.1801766466662211,,
mixtral-8x7b,goal-LLM (no graph),,,,,0.2198502064773231,,
mixtral-8x7b,target-LLM aggregated (no graph),,,,,0.1828446676366188,,
