,gemma4-26b,mistral-24b,qwen3-32b,mixtral-8x7b,best_model,best_f1,gap_to_2nd
SDG1 No Poverty,0.5936199722607489,0.5511111111111111,0.5075154730327144,0.484472049689441,gemma4-26b,0.5936199722607489,0.04250886114963781
SDG2 Zero Hunger,0.6313320825515948,0.5992438563327032,0.6122448979591837,0.5813424345847554,gemma4-26b,0.6313320825515948,0.0190871845924111
SDG3 Health,0.6513513513513514,0.47581441263573543,0.6554508748317631,0.6480156148340924,qwen3-32b,0.6554508748317631,0.00409952348041176
SDG4 Education,0.5641492265696088,0.5359361135758651,0.5173383317713215,0.3951219512195122,gemma4-26b,0.5641492265696088,0.028213112993743628
SDG5 Gender,0.7540469973890339,0.7489451476793249,0.7445565586829528,0.7478361223312175,gemma4-26b,0.7540469973890339,0.005101849709709061
SDG6 Water,0.7435653002859867,0.7020689655172414,0.7297560975609756,0.6736183524504692,gemma4-26b,0.7435653002859867,0.013809202725011072
SDG7 Energy,0.5388409371146733,0.5438356164383562,0.528937728937729,0.5285285285285285,mistral-24b,0.5438356164383562,0.004994679323682916
SDG8 Decent Work,0.5870253164556962,0.5787370103916867,0.5710862619808307,0.5929871282734133,mixtral-8x7b,0.5929871282734133,0.005961811817717044
SDG9 Innovation,0.372310570626754,0.3410283315844701,0.36990027198549413,0.36312056737588655,gemma4-26b,0.372310570626754,0.002410298641259856
SDG10 Inequality,0.48825214899713465,0.46912039925140364,0.484548825710754,0.5107033639143731,mixtral-8x7b,0.5107033639143731,0.02245121491723845
SDG11 Cities,0.6778697001034126,0.6471076667589261,0.6848719188013533,0.6582724754469906,qwen3-32b,0.6848719188013533,0.00700221869794071
SDG12 Consumption,0.6611627106983144,0.6121627064035441,0.6152635719905586,0.61179311732743,gemma4-26b,0.6611627106983144,0.04589913870775586
SDG13 Climate,0.6568569746909947,0.6470926885434658,0.6405152224824356,0.6222527472527473,gemma4-26b,0.6568569746909947,0.009764286147528889
SDG14 Sea,0.6976744186046512,0.6754002911208151,0.6653605015673981,0.6992766104030314,mixtral-8x7b,0.6992766104030314,0.0016021917983801703
SDG15 Land,0.620785648004949,0.6263505886147396,0.6230197219527966,0.6317750677506775,mixtral-8x7b,0.6317750677506775,0.00542447913593791
SDG16 Peace,0.6510878323932313,0.6386619992220925,0.6372712146422629,0.6360454943132109,gemma4-26b,0.6510878323932313,0.012425833171138767
SDG17 Partnership,0.479145122371596,0.47476525821596244,0.4752613240418119,0.4449576597382602,gemma4-26b,0.479145122371596,0.0038837983297841383
