model,goal,prevalence,b2_f1,docnbr_f1,lift
gemma4-26b,1,0.1476,0.5008064516129033,0.6074950690335306,0.1066886174206273
gemma4-26b,2,0.0923,0.5796460176991151,0.6281138790035588,0.04846786130444369
gemma4-26b,3,0.0661,0.6181818181818182,0.6408602150537634,0.022678396871945283
gemma4-26b,4,0.0624,0.5052231718898386,0.5750421585160203,0.06981898662618169
gemma4-26b,5,0.0863,0.7026406429391504,0.7621075039914849,0.05946686105233445
gemma4-26b,6,0.1655,0.7310798683816931,0.7288474350433045,-0.0022324333383886286
gemma4-26b,7,0.0606,0.5082467929138669,0.5321992709599028,0.023952478046035952
gemma4-26b,8,0.1134,0.4278131634819533,0.603023758099352,0.17521059461739874
gemma4-26b,9,0.094,0.3117672600955276,0.358148893360161,0.046381633264633404
gemma4-26b,10,0.0676,0.37230306071249375,0.48433919022154315,0.1120361295090494
gemma4-26b,11,0.2204,0.6309067688378033,0.678083891784562,0.04717712294675869
gemma4-26b,12,0.2803,0.601646385110952,0.6511375947995667,0.049491209688614646
gemma4-26b,13,0.0807,0.5835897435897436,0.6390403489640131,0.05545060537426949
gemma4-26b,14,0.1473,0.6528066528066528,0.6883751221100619,0.03556846930340907
gemma4-26b,15,0.249,0.5380689068481497,0.6153846153846154,0.07731570853646574
gemma4-26b,16,0.1204,0.5604395604395604,0.6534422403733956,0.09300267993383515
gemma4-26b,17,0.155,0.28515240904621436,0.5040322580645161,0.21887984901830176
mistral-24b,1,0.1476,0.3889457523029683,0.5713213213213213,0.182375569018353
mistral-24b,2,0.0923,0.547075208913649,0.602020202020202,0.054944993106552986
mistral-24b,3,0.0661,0.5844952593418851,0.6396588486140725,0.05516358927218745
mistral-24b,4,0.0624,0.4924812030075188,0.5522001725625539,0.05971896955503514
mistral-24b,5,0.0863,0.6185983827493261,0.7572602739726028,0.13866189122327666
mistral-24b,6,0.1655,0.6476964769647696,0.7400936037441498,0.09239712677938017
mistral-24b,7,0.0606,0.513722730471499,0.5486725663716814,0.03494983590018241
mistral-24b,8,0.1134,0.2749185667752443,0.575084681972149,0.3001661151969047
mistral-24b,9,0.094,0.2501611863313991,0.3546371936568957,0.10447600732549661
mistral-24b,10,0.0676,0.056338028169014086,0.4672639558924879,0.41092592772347386
mistral-24b,11,0.2204,0.5025985937022317,0.6520811099252934,0.14948251622306175
mistral-24b,12,0.2803,0.5158662092624356,0.6139891150977626,0.0981229058353269
mistral-24b,13,0.0807,0.5147484094852516,0.6275618374558304,0.1128134279705788
mistral-24b,14,0.1473,0.6348808030112923,0.6572123176661264,0.022331514654834073
mistral-24b,15,0.249,0.46512904997254256,0.6108262108262108,0.14569716085366824
mistral-24b,16,0.1204,0.5095862764883956,0.6334283000949668,0.12384202360657115
mistral-24b,17,0.155,0.29797492767598843,0.4736318407960199,0.17565691312003145
qwen3-32b,1,0.1476,0.31520532741398444,0.5671869052150742,0.25198157780108976
qwen3-32b,2,0.0923,0.5084959093769666,0.5804382683057189,0.07194235892875223
qwen3-32b,3,0.0661,0.5909090909090909,0.6239620403321471,0.033052949423056144
qwen3-32b,4,0.0624,0.3856812933025404,0.4981684981684982,0.11248720486595776
qwen3-32b,5,0.0863,0.5579024034959942,0.7357894736842105,0.17788707018821637
qwen3-32b,6,0.1655,0.6476258479114602,0.7339622641509433,0.08633641623948318
qwen3-32b,7,0.0606,0.4903442485306465,0.5141509433962265,0.023806694865579958
qwen3-32b,8,0.1134,0.23611997447351626,0.5678614579138139,0.33174148344029764
qwen3-32b,9,0.094,0.23853211009174313,0.35938827527612577,0.12085616518438264
qwen3-32b,10,0.0676,0.0653061224489796,0.44794520547945205,0.38263908303047245
qwen3-32b,11,0.2204,0.4881889763779528,0.6685823754789272,0.1803933991009744
qwen3-32b,12,0.2803,0.4542870677404074,0.6119605186762145,0.1576734509358071
qwen3-32b,13,0.0807,0.5246662797446314,0.63375,0.10908372025536861
qwen3-32b,14,0.1473,0.5014778325123153,0.6673196212863206,0.16584178877400535
qwen3-32b,15,0.249,0.39271255060728744,0.62146539603187,0.22875284542458257
qwen3-32b,16,0.1204,0.2847811887655127,0.631578947368421,0.3467977586029083
qwen3-32b,17,0.155,0.19116022099447513,0.4880382775119617,0.29687805651748655
mixtral-8x7b,1,0.1476,0.06675224646983312,0.484472049689441,0.4177198032196079
mixtral-8x7b,2,0.0923,0.15294117647058825,0.5813424345847554,0.4284012581141672
mixtral-8x7b,3,0.0661,0.24494142705005326,0.6480156148340924,0.40307418778403914
mixtral-8x7b,4,0.0624,0.18046971569839307,0.3951219512195122,0.21465223552111914
mixtral-8x7b,5,0.0863,0.30709275136399067,0.7478361223312175,0.4407433709672269
mixtral-8x7b,6,0.1655,0.28662420382165604,0.6736183524504692,0.38699414862881315
mixtral-8x7b,7,0.0606,0.1975609756097561,0.5285285285285285,0.3309675529187724
mixtral-8x7b,8,0.1134,0.094186902133922,0.5929871282734133,0.49880022613949127
mixtral-8x7b,9,0.094,0.13360053440213762,0.36312056737588655,0.22952003297374893
mixtral-8x7b,10,0.0676,0.20436817472698907,0.5107033639143731,0.306335189187384
mixtral-8x7b,11,0.2204,0.18138424821002386,0.6582724754469906,0.4768882272369668
mixtral-8x7b,12,0.2803,0.2625668449197861,0.61179311732743,0.3492262724076439
mixtral-8x7b,13,0.0807,0.17301750772399588,0.6222527472527473,0.4492352395287514
mixtral-8x7b,14,0.1473,0.20742486741308191,0.6992766104030314,0.49185174298994944
mixtral-8x7b,15,0.249,0.029874213836477988,0.6317750677506775,0.6019008539141995
mixtral-8x7b,16,0.1204,0.1746905089408528,0.6360454943132109,0.4613549853723581
mixtral-8x7b,17,0.155,0.2537014805922369,0.4449576597382602,0.19125617914602328
