model,K,global_val,global_test,global_lambda,pergoal_val,pergoal_test,global_minus_pergoal_test
gemma4-26b,5,0.6558334859285977,0.5878261644363114,0.6000000000000001,0.6495883597290492,0.5655360028383498,0.0222901615979616
gemma4-26b,10,0.6538035035644002,0.592942351192115,0.6000000000000001,0.6526266828902562,0.5691181675670457,0.02382418362506933
gemma4-26b,20,0.6660835768189973,0.6014740932144703,0.7000000000000001,0.6600143208489816,0.5727333765156859,0.02874071669878442
gemma4-26b,50,0.6625018665904991,0.611613262299146,0.7000000000000001,0.6552737210037823,0.5830447482705653,0.028568514028580738
mistral-24b,5,0.6309551057084942,0.5649727237433617,0.7000000000000001,0.6230810987892152,0.554148888962674,0.010823834780687713
mistral-24b,10,0.6507961197902088,0.5881510630066618,0.8,0.6429020552124721,0.5570412811796257,0.031109781827036054
mistral-24b,20,0.6569561565558452,0.5853665581212322,0.8,0.6369696900292064,0.5665075964772397,0.018858961643992478
mistral-24b,50,0.6561017694108076,0.5940953946602423,0.8,0.6346413611017416,0.5693554678456816,0.02473992681456072
qwen3-32b,5,0.6452272589428802,0.5621814103982288,0.6000000000000001,0.6341215927728462,0.5464953275963566,0.015686082801872225
qwen3-32b,10,0.6555736993134588,0.5809924834299929,0.8,0.6423392383831306,0.5555789983735168,0.025413485056476115
qwen3-32b,20,0.6622545927550573,0.5902352349967795,0.8,0.6544196781582903,0.576386889086387,0.013848345910392523
qwen3-32b,50,0.6569392354035213,0.5831047725927838,0.7000000000000001,0.6460224891493282,0.5741047304585446,0.009000042134239217
mixtral-8x7b,5,0.6099753029306905,0.5422122709258029,0.9,0.5761362556091485,0.5246078045529372,0.017604466372865724
mixtral-8x7b,10,0.6248168834871538,0.5583965649904037,0.8,0.610506202274475,0.5353381110397123,0.023058453950691393
mixtral-8x7b,20,0.6319646224483675,0.5764310391751769,1.0,0.6060821241471106,0.5447668625249957,0.031664176650181175
mixtral-8x7b,50,0.6427269769007186,0.5821240490870296,1.0,0.5986656924836544,0.5381355394468601,0.04398850964016954
