model,comparison,mean_diff,ci_lo,ci_hi
gemma4-26b,nbr - B1,0.08991045116857291,0.08509880449992425,0.09455451062244423
gemma4-26b,nbr - B2,0.08297769428649336,0.07758164474433461,0.08866677542174667
gemma4-26b,graph F - B2,-0.012646739012537182,-0.015094805532683895,-0.010229864474633386
mistral-24b,nbr - B1,0.1153690195725191,0.11009953461225797,0.12108752228971757
mistral-24b,nbr - B2,0.13510422381465673,0.1292165790238139,0.14107549844772999
mistral-24b,graph A - B2,0.006813074794016136,0.002593781737511068,0.01121077612868638
qwen3-32b,nbr - B1,0.1590624064083524,0.15379054626426317,0.164879746440592
qwen3-32b,nbr - B2,0.18083049442018073,0.17431565264576088,0.1871527009722462
qwen3-32b,graph F - B2,-0.002613430620818932,-0.004932873354650093,-0.00042038997090440724
mixtral-8x7b,nbr - B1,0.36217740854235647,0.35356290124372464,0.37038127097670065
mixtral-8x7b,nbr - B2,0.3991957655167304,0.3906559152225637,0.4076557445939835
mixtral-8x7b,graph A - B2,0.05106208170067702,0.04574405494787194,0.05652097026206363
