model,seed,test_f1
gemma4-26b,1000,0.5259008615087835
gemma4-26b,1001,0.5263199866602196
gemma4-26b,1002,0.5248951855220498
gemma4-26b,1003,0.5268950596839437
gemma4-26b,1004,0.5193210452410058
gemma4-26b,1005,0.5259952143338124
gemma4-26b,1006,0.5252145145715911
gemma4-26b,1007,0.5262446188065368
gemma4-26b,1008,0.5260728687721414
gemma4-26b,1009,0.5257617520798382
gemma4-26b,1010,0.5231243216679919
gemma4-26b,1011,0.5261097252093334
gemma4-26b,1012,0.5233633956972812
gemma4-26b,1013,0.5265342411969389
gemma4-26b,1014,0.5255010544267291
gemma4-26b,1015,0.523691683929028
gemma4-26b,1016,0.5267905123848214
gemma4-26b,1017,0.5224344071436812
gemma4-26b,1018,0.526024084729668
gemma4-26b,1019,0.52672435046429
mistral-24b,1000,0.45848262934247885
mistral-24b,1001,0.4589331968732681
mistral-24b,1002,0.4576401734114005
mistral-24b,1003,0.4587113421472275
mistral-24b,1004,0.45778520602398376
mistral-24b,1005,0.4580710942961626
mistral-24b,1006,0.4579065405871939
mistral-24b,1007,0.4573585636554402
mistral-24b,1008,0.4587110454080974
mistral-24b,1009,0.45688105039643573
mistral-24b,1010,0.4583161593965694
mistral-24b,1011,0.45764322182312966
mistral-24b,1012,0.4578182829496835
mistral-24b,1013,0.4558206388508842
mistral-24b,1014,0.4589629423760163
mistral-24b,1015,0.45739881974691066
mistral-24b,1016,0.45898507281967804
mistral-24b,1017,0.4578478499313752
mistral-24b,1018,0.4586775375143449
mistral-24b,1019,0.455912543757568
qwen3-32b,1000,0.40244486423086634
qwen3-32b,1001,0.4026903595883173
qwen3-32b,1002,0.4024050660825361
qwen3-32b,1003,0.4007285240019014
qwen3-32b,1004,0.39907795460168616
qwen3-32b,1005,0.4024973677416672
qwen3-32b,1006,0.40239550251822165
qwen3-32b,1007,0.4024089322062424
qwen3-32b,1008,0.4007830496103956
qwen3-32b,1009,0.3989372180156192
qwen3-32b,1010,0.40248775937485287
qwen3-32b,1011,0.40239550251822165
qwen3-32b,1012,0.40092854036284714
qwen3-32b,1013,0.39978450673116045
qwen3-32b,1014,0.4023237049674299
qwen3-32b,1015,0.402466583638377
qwen3-32b,1016,0.4025941098477688
qwen3-32b,1017,0.40251924524721905
qwen3-32b,1018,0.40269246149879545
qwen3-32b,1019,0.39949476373909715
mixtral-8x7b,1000,0.18208567241461732
mixtral-8x7b,1001,0.18076510684509497
mixtral-8x7b,1002,0.1822562433876418
mixtral-8x7b,1003,0.17819824579749438
mixtral-8x7b,1004,0.1812623706503102
mixtral-8x7b,1005,0.17956447061846587
mixtral-8x7b,1006,0.18051382792558304
mixtral-8x7b,1007,0.1804279260498678
mixtral-8x7b,1008,0.1794850804965253
mixtral-8x7b,1009,0.18132719902469022
mixtral-8x7b,1010,0.1815514743521793
mixtral-8x7b,1011,0.17975034222704234
mixtral-8x7b,1012,0.1817934373627328
mixtral-8x7b,1013,0.18109072127554313
mixtral-8x7b,1014,0.18079327582219895
mixtral-8x7b,1015,0.18093746989066734
mixtral-8x7b,1016,0.18198179976536621
mixtral-8x7b,1017,0.1793154371661215
mixtral-8x7b,1018,0.18023392069124627
mixtral-8x7b,1019,0.1823653726185728
