model,goal,B1,B2,graph,graph_matrix,nbr,nbr_minus_B2,graph_minus_B1
gemma4-26b,SDG1,0.5499058380414312,0.5008064516129033,0.4977849375755135,F,0.6082979418490689,0.10749149023616567,-0.05212090046591772
gemma4-26b,SDG2,0.5762543467461501,0.5176621708413616,0.5160051216389244,F,0.6275033377837116,0.10984116694235002,-0.060249225107225635
gemma4-26b,SDG3,0.6041019266625233,0.628119293974437,0.5844544095665172,F,0.6549019607843137,0.026782666809876732,-0.019647517096006095
gemma4-26b,SDG4,0.5098743267504489,0.45147679324894513,0.45588235294117646,F,0.5774410774410774,0.1259642841921323,-0.0539919738092724
gemma4-26b,SDG5,0.620501138952164,0.7026406429391504,0.6903553299492385,F,0.7639850825785829,0.06134443963943248,0.06985419099707457
gemma4-26b,SDG6,0.717092866756393,0.7310798683816931,0.7127457197209892,F,0.7296308613235784,-0.001449007058114793,-0.004347147035403842
gemma4-26b,SDG7,0.4924892703862661,0.5082467929138669,0.5082467929138669,F,0.5318761384335154,0.02362934551964857,0.015757522527600765
gemma4-26b,SDG8,0.39068666140489344,0.4278131634819533,0.39167686658506734,F,0.6040499784575614,0.17623681497560806,0.0009902051801738976
gemma4-26b,SDG9,0.2986526946107784,0.2936986301369863,0.30785450711649975,F,0.35789473684210527,0.06419610670511894,0.00920181250572133
gemma4-26b,SDG10,0.28293736501079914,0.37230306071249375,0.3670448939319191,F,0.486651411136537,0.11434835042404323,0.08410752892111995
gemma4-26b,SDG11,0.6221408966148216,0.6309067688378033,0.5715925394548063,F,0.6779492284718766,0.047042459634073275,-0.05054835716001538
gemma4-26b,SDG12,0.6021505376344086,0.601646385110952,0.6020389912359149,F,0.6647933884297521,0.06314700331880008,-0.00011154639849375592
gemma4-26b,SDG13,0.5002298850574712,0.5835897435897436,0.5829504849412965,F,0.640787315472936,0.05719757188319241,0.0827205998838253
gemma4-26b,SDG14,0.6219336219336219,0.6528066528066528,0.56484348125215,F,0.6903914590747331,0.03758480626808025,-0.05709014068147189
gemma4-26b,SDG15,0.537771251427639,0.5380689068481497,0.5360999364810501,F,0.6160767846430714,0.07800787779492169,-0.0016713149465888977
gemma4-26b,SDG16,0.5618782331874254,0.5604395604395604,0.535801266439357,F,0.660958904109589,0.10051934367002857,-0.026076966748068364
gemma4-26b,SDG17,0.37890137328339574,0.28515240904621436,0.3455202892728003,F,0.5042358522534734,0.2190834432072591,-0.03338108401059542
mistral-24b,SDG1,0.5170975813177648,0.3889457523029683,0.5100840336134453,A,0.5390070921985816,0.15006133989561327,-0.0070135477043195005
mistral-24b,SDG2,0.5124808965868568,0.547075208913649,0.5147770016120365,A,0.6072144288577155,0.06013921994406646,0.00229610502517974
mistral-24b,SDG3,0.5410860163382989,0.5902031063321386,0.5430784123910939,A,0.6414825374198146,0.051279431087676075,0.001992396052794998
mistral-24b,SDG4,0.4982142857142857,0.4924812030075188,0.49646643109540634,A,0.5470383275261324,0.05455712451861355,-0.0017478546188793853
mistral-24b,SDG5,0.5857585139318885,0.6185983827493261,0.5855466337245213,A,0.7591881513987931,0.14058976864946704,-0.0002118802073671766
mistral-24b,SDG6,0.6319580877537656,0.6476964769647696,0.6305129042796471,A,0.7417342482844667,0.09403777131969704,-0.0014451834741184832
mistral-24b,SDG7,0.5098537825810553,0.5134926754047803,0.5111536010197578,A,0.5486725663716814,0.035179890966901106,0.0012998184387025269
mistral-24b,SDG8,0.28357348703170027,0.25676613462873005,0.2783882783882784,A,0.5757806549885758,0.31901452035984573,-0.005185208643421868
mistral-24b,SDG9,0.2542579075425791,0.2501611863313991,0.25263157894736843,A,0.35640648011782033,0.10624529378642122,-0.0016263285952106687
mistral-24b,SDG10,0.3069620253164557,0.056338028169014086,0.24977538185085355,A,0.47075208913649025,0.4144140609674762,-0.05718664346560218
mistral-24b,SDG11,0.5229508196721312,0.5025985937022317,0.4794007490636704,A,0.6542849562218095,0.1516863625195778,-0.04355007060846078
mistral-24b,SDG12,0.5435816164817749,0.5158662092624356,0.5385401758331629,A,0.6363125351320967,0.12044632586966109,-0.005041440648612006
mistral-24b,SDG13,0.4613272311212815,0.5145960624575696,0.37711313394018203,A,0.6271186440677966,0.11252258161022699,-0.08421409718109946
mistral-24b,SDG14,0.5883583130010457,0.6348808030112923,0.5883583130010457,A,0.6607287449392713,0.0258479419279789,0.0
mistral-24b,SDG15,0.5081240768094535,0.46512904997254256,0.49474211316975464,A,0.6177334116265414,0.15260436165399882,-0.013381963639698846
mistral-24b,SDG16,0.5208237986270023,0.5095862764883956,0.5195632393084623,A,0.6360624704212021,0.1264761939328065,-0.0012605593185400776
mistral-24b,SDG17,0.35170969993021634,0.29797492767598843,0.3487796250442165,A,0.4801043705153294,0.18212944283934096,-0.002930074885999834
qwen3-32b,SDG1,0.34782608695652173,0.31520532741398444,0.3275862068965517,F,0.5195482189400521,0.20434289152606766,-0.020239880059970017
qwen3-32b,SDG2,0.49728424864212434,0.5084959093769666,0.4760233918128655,F,0.5823186871360508,0.07382277775908419,-0.021260856829258823
qwen3-32b,SDG3,0.5220489977728285,0.5986478180700676,0.5986478180700676,F,0.6288416075650118,0.030193789494944223,0.07659882029723908
qwen3-32b,SDG4,0.43528283796740175,0.3856812933025404,0.3856812933025404,F,0.4995442114858706,0.11386291818333016,-0.04960154466486133
qwen3-32b,SDG5,0.5460483344219464,0.5579024034959942,0.5589519650655022,F,0.7373949579831933,0.17949255448719914,0.012903630643555708
qwen3-32b,SDG6,0.6239900559353636,0.6075187969924812,0.6110071134406589,F,0.7357187696170747,0.12819997262459348,-0.012982942494704663
qwen3-32b,SDG7,0.48092643051771117,0.4903442485306465,0.49161073825503354,F,0.5145554681353265,0.02421121960467998,0.010684307737322374
qwen3-32b,SDG8,0.2417452830188679,0.23611997447351626,0.2511961722488038,F,0.5701754385964912,0.33405546412297493,0.009450889229935894
qwen3-32b,SDG9,0.24934036939313983,0.23853211009174313,0.2360335195530726,F,0.36278674596431604,0.1242546358725729,-0.01330684984006722
qwen3-32b,SDG10,0.33410672853828305,0.0653061224489796,0.0,F,0.44931506849315067,0.3840089460441711,-0.33410672853828305
qwen3-32b,SDG11,0.5204262877442274,0.4881889763779528,0.4735547355473555,F,0.6703322973942146,0.18214332101626185,-0.04687155219687189
qwen3-32b,SDG12,0.47032272624689686,0.4542870677404074,0.4554268148498463,F,0.6133642332947083,0.15907716555430096,-0.014895911397050543
qwen3-32b,SDG13,0.4516423357664234,0.5246662797446314,0.5246662797446314,F,0.6332094175960347,0.10854313785140324,0.07302394397820805
qwen3-32b,SDG14,0.5305453054530546,0.5014778325123153,0.5009842519685039,F,0.6705539358600583,0.16907610334774303,-0.029561053484550626
qwen3-32b,SDG15,0.4117647058823529,0.39271255060728744,0.384,F,0.6233766233766234,0.23066407276933593,-0.027764705882352914
qwen3-32b,SDG16,0.30198019801980197,0.2847811887655127,0.3025210084033613,F,0.6150167384026781,0.3302355496371654,0.0005408103835593536
qwen3-32b,SDG17,0.2441025641025641,0.19116022099447513,0.2176,F,0.4867287142364702,0.2955684932419951,-0.026502564102564102
mixtral-8x7b,SDG1,0.1179245283018868,0.06675224646983312,0.22035398230088496,A,0.48892825509300264,0.4221760086231695,0.10242945399899817
mixtral-8x7b,SDG2,0.16666666666666666,0.15294117647058825,0.16573208722741434,A,0.5816326530612245,0.4286914765906362,-0.0009345794392523199
mixtral-8x7b,SDG3,0.23832335329341317,0.20355029585798817,0.21451990632318502,A,0.6556510244547257,0.4521007285967375,-0.023803446970228154
mixtral-8x7b,SDG4,0.17165668662674652,0.18046971569839307,0.17434210526315788,A,0.41437125748502995,0.23390154178663689,0.002685418636411363
mixtral-8x7b,SDG5,0.3074468085106383,0.30709275136399067,0.30564430244941426,A,0.7518972562755399,0.44480450491154927,-0.0018025060612240629
mixtral-8x7b,SDG6,0.3551625239005736,0.28662420382165604,0.3548156956004756,A,0.701058201058201,0.414433997236545,-0.00034682830009802323
mixtral-8x7b,SDG7,0.2787878787878788,0.1975609756097561,0.2807731434384537,A,0.5306439100077579,0.3330829343980018,0.001985264650574914
mixtral-8x7b,SDG8,0.09641873278236915,0.094186902133922,0.17272727272727273,A,0.5809160305343511,0.48672912840042915,0.07630853994490358
mixtral-8x7b,SDG9,0.1629374641422834,0.13360053440213762,0.15194681861348527,A,0.3705179282868526,0.23691739388471497,-0.010990645528798137
mixtral-8x7b,SDG10,0.20362381363244175,0.20436817472698907,0.1656590084643289,A,0.5221971407072987,0.31782896598030963,-0.03796480516811285
mixtral-8x7b,SDG11,0.2286130323989807,0.18138424821002386,0.24515322076297685,A,0.6549259826442062,0.47354173443418235,0.01654018836399615
mixtral-8x7b,SDG12,0.32718271827182716,0.2625668449197861,0.35,A,0.6068881190136539,0.3443212740938678,0.022817281728172822
mixtral-8x7b,SDG13,0.20448430493273542,0.17301750772399588,0.19376391982182628,A,0.6243016759776536,0.45128416825365775,-0.010720385110909142
mixtral-8x7b,SDG14,0.33083891295785745,0.20742486741308191,0.330173775671406,A,0.6925103500188182,0.4850854826057363,-0.000665137286451456
mixtral-8x7b,SDG15,0.04263565891472868,0.029874213836477988,0.18980857373955243,A,0.632328024398509,0.602453810562031,0.14717291482482375
mixtral-8x7b,SDG16,0.20275344180225283,0.1746905089408528,0.15864406779661017,A,0.638986013986014,0.46429550504516115,-0.04410937400564266
mixtral-8x7b,SDG17,0.3013625434143735,0.2537014805922369,0.301523656776263,A,0.4483550114766641,0.19465353088442722,0.00016111336188950887
