model,matrix,alpha,conf,w_B,val_f1,test_f1
gemma4-26b,B1,,,,0.5644346091917544,0.5216177784976842
gemma4-26b,B2,,,,0.5638202289241306,0.5286151349954628
gemma4-26b,A,0.7,0.7,,0.5683904798278101,0.5185378819931558
gemma4-26b,B,0.8,0.5,,0.5687501736544833,0.5216685104474837
gemma4-26b,C,0.7,0.5,,0.5664600798728782,0.5264767175779481
gemma4-26b,E,0.7,0.5,,0.566972239907138,0.5255130422947276
gemma4-26b,F,0.7,0.6,,0.5698216036434075,0.5159351718245345
gemma4-26b,G,0.7,0.6,,0.5672717481651236,0.5254877002704224
gemma4-26b,D,0.8,0.5,1.0,0.5687501736544833,0.5216685104474837
mistral-24b,B1,,,,0.4744646779609347,0.47871283175044443
mistral-24b,B2,,,,0.47917752092956506,0.45896412219851473
mistral-24b,A,0.7,0.5,,0.4899466262286687,0.46581832978134724
mistral-24b,B,0.8,0.5,,0.48252137476331697,0.4585265509856432
mistral-24b,C,0.7,0.5,,0.4819794778327277,0.4568070157166158
mistral-24b,E,0.7,0.5,,0.4815164721176211,0.4558143065470312
mistral-24b,F,0.7,0.5,,0.4875291373254788,0.456823040886257
mistral-24b,G,0.8,0.6,,0.48132994060188744,0.4575369347877163
mistral-24b,D,0.8,0.5,1.0,0.48252137476331697,0.4585265509856432
qwen3-32b,B1,,,,0.41919826719940856,0.42408138213997115
qwen3-32b,B2,,,,0.4356595448233741,0.4024134188787943
qwen3-32b,A,0.7,0.5,,0.4321489943270854,0.41332363533118643
qwen3-32b,B,0.7,0.5,,0.4336782645063692,0.40239825177740024
qwen3-32b,C,0.7,0.5,,0.4336782645063692,0.4038898890588725
qwen3-32b,E,0.7,0.5,,0.4336782645063692,0.402472015895057
qwen3-32b,F,0.7,0.7,,0.4383343131289262,0.39973478289169384
qwen3-32b,G,0.7,0.5,,0.4353832943443914,0.40248149391401394
qwen3-32b,D,0.7,0.5,0.0,0.4336782645063692,0.4038898890588725
mixtral-8x7b,B1,,,,0.2302696821256125,0.2198128864316267
mixtral-8x7b,B2,,,,0.20678249278425587,0.18292980283480648
mixtral-8x7b,A,0.7,0.7,,0.2680115033709416,0.2338577374692181
mixtral-8x7b,B,0.8,0.5,,0.2061746931233716,0.1824977634620627
mixtral-8x7b,C,0.8,0.5,,0.20836466001922083,0.18214315230605424
mixtral-8x7b,E,0.9,0.5,,0.20531068976801878,0.1822240858163947
mixtral-8x7b,F,0.7,0.5,,0.22089247554953872,0.19570732647018735
mixtral-8x7b,G,0.7,0.5,,0.20706607906666066,0.17887350086830114
mixtral-8x7b,D,0.8,0.5,0.0,0.20836466001922083,0.18214315230605424
