model,matrix,val_f1_tgt,test_f1_tgt
gemma4-26b,unpropagated,0.23442709949566948,0.2145633291428611
gemma4-26b,B,0.23880126348848307,0.21685599147852141
gemma4-26b,C,0.2382487845920279,0.21485283304088346
gemma4-26b,D,0.23880126348848307,0.21685599147852141
gemma4-26b,E,0.23718310682620408,0.21508240170401477
gemma4-26b,F,0.23689598239066725,0.20797043378202482
gemma4-26b,G,0.23775593440345175,0.21600215409494422
mistral-24b,unpropagated,0.1709528972531658,0.21550182319084304
mistral-24b,B,0.1759965715276093,0.21489104358089772
mistral-24b,C,0.1740241849398381,0.2153856995095912
mistral-24b,D,0.1759965715276093,0.21489104358089772
mistral-24b,E,0.17391147713482258,0.21552269761794737
mistral-24b,F,0.18157872166646297,0.2049149636612745
mistral-24b,G,0.17431464992012938,0.21511960020598608
qwen3-32b,unpropagated,0.18276038344949233,0.1690684395865115
qwen3-32b,B,0.18374592707717644,0.1719319674279825
qwen3-32b,C,0.18393874800578333,0.1723861531422628
qwen3-32b,D,0.18393874800578333,0.1723861531422628
qwen3-32b,E,0.18325348009643513,0.1730975606385997
qwen3-32b,F,0.18630128699039586,0.16918424498468926
qwen3-32b,G,0.18334313403224292,0.17273355589657824
mixtral-8x7b,unpropagated,0.07008537769650691,0.0892672231542751
mixtral-8x7b,B,0.06865774549964393,0.0893504815800025
mixtral-8x7b,C,0.0686188128304383,0.089316647377324
mixtral-8x7b,D,0.0686188128304383,0.089316647377324
mixtral-8x7b,E,0.06839476062127445,0.08961176554356148
mixtral-8x7b,F,0.07010615404628631,0.08731311409618457
mixtral-8x7b,G,0.06856757925563153,0.08929577653891145
