series_code,description,direction
AG_PRD_ORTIND,Agriculture orientation index for government expenditures,
BN_KLT_PTXL_CD,"Portfolio investment, net (Balance of Payments, current United States dollars)",
EG_TBA_H2CO,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%),
EG_TBA_H2COAQ,Proportion of transboundary aquifers with an operational arrangement for water cooperation (%),
EG_TBA_H2CORL,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%),
EN_EWT_COLLPCAP,"Electronic waste collected, per capita (KG)",
EN_EWT_COLLR,Proportion of electronic waste collected (%),
EN_EWT_COLLV,Electronic waste collected (Tonnes),
EN_LKRV_PWAC,Lakes and rivers permanent water area change (%),
EN_LKRV_PWAN,Lakes and rivers permanent water area (square kilometres),
EN_LKRV_SWAC,Lakes and rivers seasonal water area change (%),
EN_LKRV_SWAN,Lakes and rivers seasonal water area (square kilometres),
EN_LKW_QLTRB,Lake water quality turbidity (%),
EN_LKW_QLTRST,Lake water quality trophic state (%),
EN_LND_CNSPOP,Ratio of land consumption rate to population growth rate,
EN_LND_INDQTHSNG,Proportion of urban population living in inadequate housing (%),
EN_MAR_BEALIT_BP,Beach litter originating from national land-based sources that ends in the beach (%),
EN_MAR_BEALIT_BV,Beach litter originating from national land-based sources that ends in the beach (Tonnes),
EN_MAR_BEALIT_EXP,Exported beach litter originating from national land-based sources (Tonnes),
EN_MAR_BEALIT_OP,Beach litter originating from national land-based sources that ends in the ocean (%),
EN_MAR_BEALIT_OV,Beach litter originating from national land-based sources that ends in the ocean (Tonnes),
EN_MAR_BEALIT_PUSA,Beach litter items per unit of surface area (Number of items per 100 square meters),
EN_MAR_CHLANM,"Chlorophyll-a anomaly, remote sensing (%)",
EN_MAR_CHLCONC,Chlorophyll-a concentration (milligram per liter),
EN_MAR_CHLDEV,"Chlorophyll-a deviations, remote sensing (%)",
EN_MAR_DSI_MML,Coastal Eutrophication: Total Dissolved Silica (micromole per liter),
EN_MAR_PLASDD,Floating plastic debris density (count per km2),
EN_MAR_TN_MML,Coastal Eutrophication: Total Nitrogen (micromole per liter),
EN_MAR_TP_MML,Coastal Eutrophication: Total Phosphorus (micromole per liter),
EN_MAT_DOMCMPC,"Domestic material consumption per capita, by type of raw material (tonnes)",
EN_MAT_DOMCMPT,"Domestic material consumption, by type of raw material (tonnes)",
EN_MWT_COLLV,Municipal waste collected (Tonnes),
EN_MWT_EXP,Municipal waste exported (Tonnes),
EN_MWT_IMP,Municipal waste imported (Tonnes),
EN_MWT_TREATR,"Proportion of municipal waste treated, by type of treatment (%)",
EN_MWT_TREATV,Municipal waste treated by type of treatment (Tonnes),
EN_RSRV_MNWAC,Reservoir minimum water area change (%),
EN_RSRV_MNWAN,Reservoir minimum water area (square kilometres),
EN_RSRV_MXWAN,Reservoir maximum water area (square kilometres),
EN_RVR_MNRVFLC,Change in minimum river flow (%),
EN_RVR_MNRVFLN,River flow minimum (m3/s),
EN_RVR_MXRVFLC,Change in maximum river flow (%),
EN_RVR_MXRVFLN,River flow maximum (m3/s),
EN_SCP_FRMN,"Number of companies publishing sustainability reports with disclosure by dimension, by level of requirement (Number)",
EN_URB_OPENSP,Average share of the built-up area of cities that is open space for public use for all (%),
EN_WBE_NDQTGRW,Nationally derived quantity of groundwater (millions of cubic metres per annum),
EN_WBE_NDQTRVR,Nationally derived quantity of rivers (million of cubic metres per annum),
EN_WWT_GEN,Total wastewater generated (million m3/year),
EN_WWT_TREAT,Total wastewater treated (million m3/year),
EN_WWT_TREATR,"Proportion of wastewater treated, by activity and location (%)",
ER_BDY_ABT2NP,Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO),
ER_BDY_KMGBFT14,Countries that established national targets in accordance with or similar to Kunming-Montreal Global Biodiversity Framework Target 14 in their national biodiversity strategy and action plans (1 = YES; 0 = NO),
ER_BDY_SEEA,"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting  (1 = YES; 0 = NO)",
ER_CBD_ABSCLRHS,"Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House (1 = YES; 0 = NO)",
ER_CBD_NAGOYA,Countries that are parties to the Nagoya Protocol (1 = YES; 0 = NO),
ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),
ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",
ER_H2O_IWRMD_FI,"Degree of integrated water resources management implementation, financing (%)",
