doi,title,abstract_sha256,abstract_nchar
10.1016/j.resconrec.2016.12.012,Comparative LCA on using waste materials in the cement industry: A Hong Kong case study,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.1016/j.iswcr.2015.05.002,"Conservation tillage impacts on soil, crop and the environment",24b1f85d28de1f49772b78df64f4829e287612be4b9975842071c960b0bea735,1605
10.1016/j.renene.2017.01.048,Does renewable energy concentration increase the variance/uncertainty in electricity prices in Africa?,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.2495/eco110171,"An alternative tourism model for sustainable development in Los Cabos, Baja California Sur, Mexico",e85795f0a4d17861bac473c2d5bffa1ea1a58f718221463bb1c7267394e6b01d,1626
10.1093/icesjms/fsu225,Scottish science applications of Remote Electronic Monitoring,80683cfff729e11968329d7cdf9f1bb6c87fa4e55bc7ae2dbd2e16aa8f61d412,1951
10.1007/s13131-018-1192-6,Spatial pattern of macrobenthic communities along a shelf-slope-basin transect across the Bering Sea,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.1007/698_2017_163,Potential Role of Intercropping in Maintaining and Facilitating Environmental Sustainability,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.5593/sgem2017/54/s22.010,HOW TO IMPROVE CURRICULUM DEVELOPMENT THROUGH PROCESSES MODELING TECHNIQUE,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.1016/j.jenvman.2018.08.075,Plant growth-promoting rhizobacteria as an alternative to mineral fertilizers in assisted bioremediation - Sustainable land and waste management,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.2489/jswc.70.3.198,"Differential water and soil conservation capacity and associated processes in four forest ecosystems in Dianchi Watershed, Yunnan Province, China",6696ddf308d766a0d72c1edd3fe0ca5126574c985f208be2a53e24a56af0f4ff,2738
10.1108/caer-04-2013-0055,Steadying the ladder,420dd94a8dde923226b17ae779c612122ad2cca790de28ac0b7575fdf738ab71,1502
10.3109/09638288.2015.1056387,A grounded theory of Internet and social media use by young people who use augmentative and alternative communication (AAC),d74762550b8144b7a6a513d68210421d2fd0079b2983b6768831318f4da6f4e1,1771
10.1016/j.scitotenv.2013.05.010,Systemic solutions for multi-benefit water and environmental management,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.1590/s0102-053620190301,The multifunctionality of urban horticulture and its integration with the city ecosystem: a brief review of concepts and the case of São Luís,ef220827afde5d8296910f8f799e105fd3cbc515aaa9e125b635191cd316067d,1996
10.21101/hygiena.a1470,Cleaning Low Noise Pavements and Changes in Their Noisiness in the Czech Republic Monitored by the CPX Method,93fde9621b9ae96617b7c12aa717ddefd614f1c1b49b53d31eed28d966d7a611,1211
10.18848/1832-2077/cgp/v07i04/54950,Sustainable Strategic Alliances: Leveraging Online Social Networks,bc147df204ce672d93dd279b751ea2689b2a9f06ea7993dbad56b011a54be8ca,2069
10.1007/978-981-13-2399-7_7,"Interactive Governance for Sustainable Resource Use and Environmental Management: A Case Study of Yaman ng Lawa Initiative in the Laguna Lake Watershed, Philippines",e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.3390/ijerph15122728,Historical Earthquakes and Their Socioeconomic Consequences in China: 1950–2017,e2c877e33759dcab374a663833a8025bc5a4f3230205a708ae20c64947d93d0e,479
10.1080/14728028.2019.1620137,Household Level Determinants of Agroforestry Practices Adoption in Rural Ethiopia,451fa2affaeb664f0a6b8fcfd8e219af8b88d05d8d5b5e6951a2136353d0af2b,1274
10.1007/s00267-011-9807-0,"Towards Sustainable Integrated Watershed Ecosystem Management: A Case Study in Dingxi on the Loess Plateau, China",e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.5588/ijtld.11.0316,Building leadership capacity and future leaders in operational research in low-income countries: why and how?,69e5beb55f67e5eb614dfb8b4c6a940d5d1c8efdf44cd32acff9500ad797d8f0,1367
10.1108/dpm-03-2018-0088,What is the post-2015 development agenda? A look from the underlying disaster risk drivers,be10dd74a4a2934397bbd9d59e4527d8d0dd252e8dc898dc651100baf24fb73f,1376
10.1016/j.envpol.2018.04.064,"Geochemistry and carbon isotopic ratio for assessment of PM10 composition, source and seasonal trends in urban environment",e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
10.1080/1573062x.2010.546861,Urban water management strategies based on a total urban water cycle model and energy aspects – Case study for Tel Aviv,acbdb9a494caf4090e00d92809d48cd13cdc71aba475da1f76b849f828b2a4df,982
